Designator,Mid X,Mid Y,Rotation,Layer
C1,147.5,-94.75,90.0,top
C2,152.25,-93.5,60.0,bottom
J1,154.0,-97.7,120.0,top
U2,150.0,-100.0,90.0,bottom
